ROOT_JOB,RPT_TABLE,DEPENDENT_JOB,DEPTH,JOB_CATEGORY,DIRECTION,UPSTREAM_JOBS,DOWNSTREAM_JOBS,Avg_runtime_Duration (Sec),CMD,SHELL_SCRIPT,PARENT_CALLER,LINEAGE_SOURCE,SQL_OBJECT_TYPE,SQL_OBJECT_SCHEMA,PACKAGE_NAME,PROC_NAME,FULL_OBJECT,PATTERN_TYPE,SHELL_TABLE_REFS,IN_TYPE_PARAM,SRC_TABLE,TGT_TABLE,SOURCE_COL,TARGET_COL,TIDAL_PARAMS,IS_PARAMETERIZED,LINEAGE_STATUS,NOTES
EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14,RPT_GRP_PRODUCT_R,EDP_EDW_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R,5,FCT,FORWARD,EDP_EDW_GRP_LOAD_RPT_CLAIM_SUM_INCR_LIFE_ADHOC_MONTHEND_R,EDP_EDW_GRP_LOAD_FCT_INCURRED_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R,29.25,/home/jobs/group/EDW/edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,"""PRC_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_R_INCR_LIFE_ADHOC""","""PRC_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_R_INCR_LIFE_ADHOC""",EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,"""PRC_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_R_INCR_LIFE_ADHOC""",True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14 — 5 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14,RPT_GRP_PRODUCT_R,EDP_EDW_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_INCR_LIFE_ADHOC_R,5,FCT,FORWARD,EDP_EDW_GRP_LOAD_RPT_CLAIM_SUM_R_INCR_LIFE_ADHOC_R,,63.66666667,/home/jobs/group/EDW/edw_grp_load_adhoc_prc_exe_daily.sh,edw_grp_load_adhoc_prc_exe_daily.sh,edw_grp_load_adhoc_prc_exe_daily.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,PRC_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_R_INCR_LIFE_ADHOC,PRC_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_R_INCR_LIFE_ADHOC,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PRC_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_R_INCR_LIFE_ADHOC,True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14 — 5 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14,RPT_GRP_PRODUCT_R,EDP_EDW_GRP_LOAD_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,6,FCT,FORWARD,EDP_EDW_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,EDP_EDW_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,2120,/home/jobs/group/EDW/edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,FORWARD_BFS,PACKAGE,ATOMIC,PKG_GRP_LOAD_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,main,PKG_GRP_LOAD_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R.main,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PKG_GRP_LOAD_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14 — 6 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14,RPT_GRP_PRODUCT_R,EDP_EDW_GRP_LOAD_FCT_INCURRED_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R,6,FCT,FORWARD,EDP_EDW_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R,EDP_EDW_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R,199.5,/home/jobs/group/EDW/edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,"""PRC_GRP_LOAD_FCT_INCURRED_SUMMARY_R_INCR_LIFE_ADHOC""","""PRC_GRP_LOAD_FCT_INCURRED_SUMMARY_R_INCR_LIFE_ADHOC""",EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,"""PRC_GRP_LOAD_FCT_INCURRED_SUMMARY_R_INCR_LIFE_ADHOC""",True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14 — 6 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14,RPT_GRP_PRODUCT_R,EDP_EDW_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,7,RPT,FORWARD,EDP_EDW_GRP_LOAD_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,EDP_EDW_GRP_LOAD_RPT_RESERVE_DETAILS_BEST_ESTIMATE_PREV_MONTH_R,98,/home/jobs/group/EDW/edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,FORWARD_BFS,PACKAGE,ATOMIC,PKG_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,main,PKG_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R.main,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PKG_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14 — 7 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14,RPT_GRP_PRODUCT_R,EDP_EDW_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R,7,RPT,FORWARD,EDP_EDW_GRP_LOAD_FCT_INCURRED_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R,EDP_EDW_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT_MONTHEND,17,/home/jobs/group/EDW/edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,"""PRC_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_R_INCR_LIFE_ADHOC""","""PRC_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_R_INCR_LIFE_ADHOC""",EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,"""PRC_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_R_INCR_LIFE_ADHOC""",True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14 — 7 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14,RPT_GRP_PRODUCT_R,EDP_EDW_GRP_LOAD_RPT_RESERVE_DETAILS_BEST_ESTIMATE_PREV_MONTH_R,8,RPT,FORWARD,EDP_EDW_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,EDP_EDW_GRP_LOAD_RPT_CLAIM_SUM_BEST_ESTIMATE_PREV_MONTH_R,191,/home/jobs/group/EDW/edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,FORWARD_BFS,PACKAGE,ATOMIC,PKG_GRP_LOAD_RPT_RESERVE_DETAILS_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,main,PKG_GRP_LOAD_RPT_RESERVE_DETAILS_BEST_ESTIMATE_RESERVES_PREV_MONTH_R.main,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PKG_GRP_LOAD_RPT_RESERVE_DETAILS_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14 — 8 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14,RPT_GRP_PRODUCT_R,EDP_EDW_GRP_LOAD_RPT_CLAIM_SUM_BEST_ESTIMATE_PREV_MONTH_R,9,RPT,FORWARD,EDP_EDW_GRP_LOAD_RPT_RESERVE_DETAILS_BEST_ESTIMATE_PREV_MONTH_R,,91,/home/jobs/group/EDW/edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,FORWARD_BFS,PACKAGE,ATOMIC,PKG_GRP_LOAD_RPT_CLAIM_SUM_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,main,PKG_GRP_LOAD_RPT_CLAIM_SUM_BEST_ESTIMATE_RESERVES_PREV_MONTH_R.main,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PKG_GRP_LOAD_RPT_CLAIM_SUM_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_GRP_PRODUCT_R-14 — 9 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_LOAD_FCT_LG_RESERVE_DETAILS_INCR_PREMIUM_R,1,FCT,FORWARD,EDP_EDW_EIS_SHINKA_LOAD_DIM_GRP_POLICY_DIR_R | EDP_EDW_GRP_LOAD_FCT_RPT_ANN_PREM_SUMMARY_R | EDP_EDW_GRP_PACS_LOAD_DIM_GRP_POLICY_DIR_R | EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,,258.2,/home/jobs/group/EDW/edw_grp_load_fct_lg_reserve_details_premium_r.sh,edw_grp_load_fct_lg_reserve_details_premium_r.sh,edw_grp_load_fct_lg_reserve_details_premium_r.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,PRC_GRP_LOAD_FCT_LG_RESERVE_DETAILS_R_INCR_PREMIUM,PRC_GRP_LOAD_FCT_LG_RESERVE_DETAILS_R_INCR_PREMIUM,DIRECT_PROC_CALL,,,,,,,/home/jobs/group/Data_lake/script_parameters_PACS.txt,False,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 1 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT,1,STG,FORWARD,EDP_GRP_EDW_LOAD_RPT_FCT_RPT_CLAIM_SUMMARY_R-24 | EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,EDP_EDW_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT_MONTHEND,1.166666667,/home/jobs/group/EDW/edw_grp_load_stg_ba_ltd_rollforward_fact.sh,edw_grp_load_stg_ba_ltd_rollforward_fact.sh,edw_grp_load_stg_ba_ltd_rollforward_fact.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,PRC_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT,PRC_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT,DIRECT_PROC_CALL,,,,,,,/home/jobs/group/Data_lake/script_parameters_PACS.txt,False,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 1 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_VUE_LOAD_FCT_BILLING_POLICY_PREMIUM_R,1,FCT,BACKWARD,,EDP_EDW_GRP_DAILY_LOAD_FCT_BILLING_POLICY_PREMIUM_R_MGIS | EDP_EDW_GRP_LOAD_FCT_BILLING_POLICY_PREMIUM_R_TABLE,193.8709677,/home/jobs/group/EDW/edp_grp_plsql_difw_job_srcsys.sh,edp_grp_plsql_difw_job_srcsys.sh,edp_grp_plsql_difw_job_srcsys.sh,DIFW_QUERY,PACKAGE,ATOMIC,PKG_GRP_LOAD_DIFW,main,PKG_GRP_LOAD_DIFW.main,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PKG_GRP_LOAD_DIFW GRP_LOAD_FCT_BILLING_POLICY_PREMIUM_R VUE FCT_SINGLE_SRC,True,DIFW_MISSING_LINEAGE,DIFW job but no SRC/TGT extracted from query | DIFW infra procs: GET_MULTISRCSYS_INSERT → PRC_RECON → GET_MULTISRCSYS_MERGE → TBL_REC_COUNT_JOBWISE → GET_SINGLESRCSYS_MERGE1 → GET_DELETE_LOAD
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_GRP_EDW_LOAD_RPT_FCT_RPT_ANN_PREM_SUMMARY_R-UW-6,1,RPT,FORWARD,EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,EDP_EDW_GRP_LOAD_SF_POLICY_R | Grp_EDP_Report_Sales_Underwriter_Rpt_All,110.45,/home/jobs/group/EDW/edw_grp_load_rpt_fct_rpt_ann_prem_summary_r_inc.sh,edw_grp_load_rpt_fct_rpt_ann_prem_summary_r_inc.sh,edw_grp_load_rpt_fct_rpt_ann_prem_summary_r_inc.sh,FORWARD_BFS,PACKAGE,ATOMIC,PKG_GRP_LOAD_RPT_FCT_RPT_ANN_PREM_SUMMARY_R_INC,main,PKG_GRP_LOAD_RPT_FCT_RPT_ANN_PREM_SUMMARY_R_INC.main,DIRECT_PKG_MAIN_CALL,,,,,,,,False,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 1 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,Grp_SSL_Populate_T_RPT_SCH_Rpt_Claims,1,OTHER,FORWARD,EDP_GRP_EDW_LOAD_RPT_CLAIM_SUM_R-22 | EDP_GRP_EDW_LOAD_RPT_FCT_RPT_CLAIM_SUMMARY_R-24 | EDP_GRP_EDW_LOAD_RPT_FCT_RPT_CLAIM_SUMMARY_R_HIST-28 | EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,,1,/home/jobs/group/EDW/edw_grp_load_t_rpt_sch_services.sh,edw_grp_load_t_rpt_sch_services.sh,edw_grp_load_t_rpt_sch_services.sh,FORWARD_BFS,INSERT_SELECT,,,T_RPT_SCH,T_RPT_SCH,STATIC_SQL,,,,,,,PACS RPT_CLAIMS,False,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 1 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GATHER_TBL_IDX_STATS - WP_BENEFIT_PAYMENT_HIST_MV,2,OTHER,FORWARD,EDP_EDW_MV_REFRESH_WP_BENEFIT_PAYMENT_HIST_MV,EDP_GRP_EDW_MV_REFRESH_RPT_ASO_CLAIMS_OAC_MV-6,1,/home/jobs/group/EDW/edw_grp_gather_tbl_idx_stats.sh,edw_grp_gather_tbl_idx_stats.sh,edw_grp_gather_tbl_idx_stats.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,PRC_GRP_GATHER_TABLE_IDX_STATS,PRC_GRP_GATHER_TABLE_IDX_STATS,DIRECT_PROC_CALL,,,,,,,WP_BENEFIT_PAYMENT_HIST_MV 8,False,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 2 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GATHER_TBL_IDX_STATS - WP_CLAIM_SUMMARY_DETAIL_MV,2,OTHER,FORWARD,EDP_EDW_MV_REFRESH_WP_CLAIM_SUMMARY_DETAIL_MV,EDP_GRP_EDW_MV_REFRESH_RPT_ASO_CLAIMS_OAC_MV-6,1,/home/jobs/group/EDW/edw_grp_gather_tbl_idx_stats.sh,edw_grp_gather_tbl_idx_stats.sh,edw_grp_gather_tbl_idx_stats.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,PRC_GRP_GATHER_TABLE_IDX_STATS,PRC_GRP_GATHER_TABLE_IDX_STATS,DIRECT_PROC_CALL,,,,,,,WP_CLAIM_SUMMARY_DETAIL_MV 8,False,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 2 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_LOAD_FCT_LG_RESERVE_DETAILS_BEST_ESTIMATE_PREV_MONTH_R,2,FCT,FORWARD,,EDP_EDW_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,4465,/home/jobs/group/EDW/edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,FORWARD_BFS,PACKAGE,ATOMIC,PKG_GRP_LOAD_FCT_LG_RESERVE_DETAILS_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,main,PKG_GRP_LOAD_FCT_LG_RESERVE_DETAILS_BEST_ESTIMATE_RESERVES_PREV_MONTH_R.main,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PKG_GRP_LOAD_FCT_LG_RESERVE_DETAILS_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 2 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_LOAD_RPT_RESERVE_DETAILS_INCR_LIFE_ADHOC_MONTHEND_R,2,RPT,FORWARD,EDP_GRP_EDW_LOAD_RPT_CLAIM_SUM_R-22,EDP_EDW_GRP_LOAD_RPT_CLAIM_SUM_INCR_LIFE_ADHOC_MONTHEND_R,147.75,/home/jobs/group/EDW/edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,"""PRC_GRP_LOAD_RPT_RESERVE_DETAILS_R_INCR_LIFE_ADHOC""","""PRC_GRP_LOAD_RPT_RESERVE_DETAILS_R_INCR_LIFE_ADHOC""",EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,"""PRC_GRP_LOAD_RPT_RESERVE_DETAILS_R_INCR_LIFE_ADHOC""",True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 2 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_LOAD_RPT_RESERVE_DETAILS_INCR_LIFE_ADHOC_R,2,RPT,FORWARD,EDP_GRP_EDW_LOAD_RPT_CLAIM_SUM_R-22,EDP_EDW_GRP_LOAD_RPT_CLAIM_SUM_R_INCR_LIFE_ADHOC_R,185.3157895,/home/jobs/group/EDW/edw_grp_load_adhoc_prc_exe_daily.sh,edw_grp_load_adhoc_prc_exe_daily.sh,edw_grp_load_adhoc_prc_exe_daily.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,PRC_GRP_LOAD_RPT_RESERVE_DETAILS_R_INCR_LIFE_ADHOC,PRC_GRP_LOAD_RPT_RESERVE_DETAILS_R_INCR_LIFE_ADHOC,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PRC_GRP_LOAD_RPT_RESERVE_DETAILS_R_INCR_LIFE_ADHOC,True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 2 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT_MONTHEND,2,STG,FORWARD,EDP_EDW_GRP_LOAD_RPT_FCT_INCURRED_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R | EDP_EDW_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT,,821.25,/home/jobs/group/EDW/edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,"""PRC_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT_ADHOC""","""PRC_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT_ADHOC""",EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,"""PRC_GRP_LOAD_STG_BA_LTD_ROLLFORWARD_FACT_ADHOC""",True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 2 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDW_EDP_LOAD_DATA_QUALITY_CHECK_DLY,2,OTHER,FORWARD,EDP_GRP_EDW_LOAD_RPT_DICS_CLAIMS_DETAIL_OAC_R-1,,558.2,/home/jobs/group/EDW/edw_grp_load_dq_check.sh,edw_grp_load_dq_check.sh,edw_grp_load_dq_check.sh,FORWARD_BFS,PACKAGE,ATOMIC,PKG_GRP_DQ_CHECK,PRC_RUN_DQ_CHECKS,PKG_GRP_DQ_CHECK.PRC_RUN_DQ_CHECKS,DIRECT_PKG_PROC_CALL,,,,,,,,False,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 2 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GATHER_TBL_IDX_STATS - WP_ASSOCIATED_CLAIMS_MV,3,OTHER,FORWARD,EDP_EDW_MV_REFRESH_PORTAL_WP_ASSOCIATED_CLAIMS_MV,,1.05,/home/jobs/group/EDW/edw_grp_gather_tbl_idx_stats.sh,edw_grp_gather_tbl_idx_stats.sh,edw_grp_gather_tbl_idx_stats.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,PRC_GRP_GATHER_TABLE_IDX_STATS,PRC_GRP_GATHER_TABLE_IDX_STATS,DIRECT_PROC_CALL,,,,,,,WP_ASSOCIATED_CLAIMS_MV 8,False,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 3 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,3,FCT,FORWARD,EDP_EDW_GRP_LOAD_FCT_LG_RESERVE_DETAILS_BEST_ESTIMATE_PREV_MONTH_R,EDP_EDW_GRP_LOAD_FCT_INCURRED_SUMMARY_BEST_ESTIMATE_PREV_MONTH_R,47,/home/jobs/group/EDW/edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,edp_grp_tpa_reserve_files_Prev_month_load.sh,FORWARD_BFS,PACKAGE,ATOMIC,PKG_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,main,PKG_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R.main,EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,PKG_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_BEST_ESTIMATE_RESERVES_PREV_MONTH_R,True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 3 hop(s) away (forward BFS)
EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16,RPT_POLICY_DTL_R,EDP_EDW_GRP_LOAD_RPT_CLAIM_SUM_INCR_LIFE_ADHOC_MONTHEND_R,3,RPT,FORWARD,EDP_EDW_GRP_LOAD_RPT_RESERVE_DETAILS_INCR_LIFE_ADHOC_MONTHEND_R | EDP_GRP_EDW_LOAD_RPT_CLAIM_SUM_R_UPD_COLS,EDP_EDW_GRP_LOAD_FCT_RPT_CLAIM_SUMMARY_INCR_LIFE_ADHOC_MONTHEND_R,13,/home/jobs/group/EDW/edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,edw_grp_load_adhoc_prc_exe_monthend.sh,FORWARD_BFS,PROCEDURE,ATOMIC,,"""PRC_GRP_LOAD_RPT_CLAIM_SUM_R_INCR_LIFE_ADHOC""","""PRC_GRP_LOAD_RPT_CLAIM_SUM_R_INCR_LIFE_ADHOC""",EXECUTE_IMMEDIATE_DYNAMIC,,,,,,,"""PRC_GRP_LOAD_RPT_CLAIM_SUM_R_INCR_LIFE_ADHOC""",True,SQL_OBJECT_IDENTIFIED,Downstream consumer of EDP_GRP_EDW_LOAD_RPT_POLICY_DTL_R-16 — 3 hop(s) away (forward BFS)
